"","mode","date","tap","time","loc","count","lat","lon","latlon"
"99","train",20160725,"off","21:00","Town Hall Station",242,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"100","train",20160725,"off","14:00","Town Hall Station",1040,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"101","train",20160725,"off","22:00","Town Hall Station",199,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"102","train",20160725,"off","07:15","Town Hall Station",1843,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"103","train",20160725,"off","22:30","Town Hall Station",195,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"104","train",20160725,"off","17:30","Town Hall Station",1639,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"105","train",20160725,"off","20:30","Town Hall Station",294,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"106","train",20160725,"off","10:15","Town Hall Station",1384,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"107","train",20160725,"off","17:15","Town Hall Station",1485,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"108","train",20160725,"off","08:30","Town Hall Station",5602,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"109","train",20160725,"off","10:30","Town Hall Station",1431,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"110","train",20160725,"off","09:00","Town Hall Station",5595,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"111","train",20160725,"off","07:30","Town Hall Station",2707,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"112","train",20160725,"off","13:45","Town Hall Station",1360,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"113","train",20160725,"off","16:45","Town Hall Station",1333,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"114","train",20160725,"off","06:30","Town Hall Station",859,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"115","train",20160725,"off","00:45","Town Hall Station",19,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"116","train",20160725,"off","18:00","Town Hall Station",1581,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"117","train",20160725,"off","15:00","Town Hall Station",1069,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"118","train",20160725,"off","20:15","Town Hall Station",320,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"119","train",20160725,"off","11:15","Town Hall Station",1227,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"120","train",20160725,"off","18:45","Town Hall Station",732,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"121","train",20160725,"off","11:30","Town Hall Station",1093,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"122","train",20160725,"off","00:30","Town Hall Station",47,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"123","train",20160725,"off","15:15","Town Hall Station",1138,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"124","train",20160725,"off","19:45","Town Hall Station",332,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"125","train",20160725,"off","19:15","Town Hall Station",527,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"126","train",20160725,"off","19:30","Town Hall Station",493,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"127","train",20160725,"off","06:15","Town Hall Station",848,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"128","train",20160725,"off","00:15","Town Hall Station",98,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"129","train",20160725,"off","21:45","Town Hall Station",181,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"130","train",20160725,"off","12:45","Town Hall Station",1444,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"131","train",20160725,"off","13:15","Town Hall Station",1159,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"132","train",20160725,"off","05:30","Town Hall Station",344,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"133","train",20160725,"off","17:45","Town Hall Station",1416,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"134","train",20160725,"off","17:00","Town Hall Station",1107,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"135","train",20160725,"off","08:00","Town Hall Station",4836,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"136","train",20160725,"off","16:00","Town Hall Station",1170,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"137","train",20160725,"off","21:15","Town Hall Station",267,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"138","train",20160725,"off","05:15","Town Hall Station",120,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"139","train",20160725,"off","13:00","Town Hall Station",1240,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"140","train",20160725,"off","20:00","Town Hall Station",297,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"141","train",20160725,"off","12:30","Town Hall Station",1538,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"142","train",20160725,"off","12:15","Town Hall Station",1079,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"143","train",20160725,"off","09:30","Town Hall Station",2242,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"144","train",20160725,"off","07:00","Town Hall Station",1179,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"145","train",20160725,"off","14:45","Town Hall Station",927,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"146","train",20160725,"off","14:15","Town Hall Station",891,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"147","train",20160725,"off","09:15","Town Hall Station",4146,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"148","train",20160725,"off","08:45","Town Hall Station",6865,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"149","train",20160725,"off","16:30","Town Hall Station",1233,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"150","train",20160725,"off","04:15","Town Hall Station",19,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"151","train",20160725,"off","23:45","Town Hall Station",56,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"152","train",20160725,"off","22:45","Town Hall Station",181,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"153","train",20160725,"off","10:00","Town Hall Station",1506,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"154","train",20160725,"off","14:30","Town Hall Station",1053,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"155","train",20160725,"off","18:15","Town Hall Station",1044,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"156","train",20160725,"off","18:30","Town Hall Station",962,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"157","train",20160725,"off","06:45","Town Hall Station",1221,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"158","train",20160725,"off","15:30","Town Hall Station",1038,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"159","train",20160725,"off","20:45","Town Hall Station",243,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"160","train",20160725,"off","22:15","Town Hall Station",197,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"161","train",20160725,"off","07:45","Town Hall Station",3657,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"162","train",20160725,"off","23:00","Town Hall Station",133,"-33.8732664","151.2062183","-33.8732664,151.2062183"
"163","train",20160725,"off","09:45","Town Hall Station",2490,"-33.8732664","151.2062183","-33.8732664,151.2062183"
