mode,date,tap,loc,count
bus,20160814,off,2208,455
bus,20160814,off,2209,261
bus,20160814,off,2565,310
bus,20160814,off,2564,203
bus,20160814,off,2567,247
bus,20160814,off,2566,373
bus,20160814,off,2118,666
bus,20160814,off,2110,374
bus,20160814,off,2111,1054
bus,20160814,off,2112,2342
bus,20160814,off,2113,3777
bus,20160814,off,2114,601
bus,20160814,off,2115,414
bus,20160814,off,2116,284
bus,20160814,off,2117,480
bus,20160814,off,2029,826
bus,20160814,off,2264,41
bus,20160814,off,2122,2367
bus,20160814,off,2213,72
bus,20160814,off,2212,281
bus,20160814,off,2211,642
bus,20160814,off,2210,555
bus,20160814,off,2217,911
bus,20160814,off,2216,2195
bus,20160814,off,2214,83
bus,20160814,off,2206,723
bus,20160814,off,2219,262
bus,20160814,off,2218,91
bus,20160814,off,2220,2741
bus,20160814,off,2150,7869
bus,20160814,off,2024,1675
bus,20160814,off,2025,618
bus,20160814,off,2026,7141
bus,20160814,off,2108,457
bus,20160814,off,2020,2541
bus,20160814,off,2021,3849
bus,20160814,off,2022,15113
bus,20160814,off,2023,407
bus,20160814,off,2103,751
bus,20160814,off,2102,121
bus,20160814,off,2101,836
bus,20160814,off,2100,2894
bus,20160814,off,2107,372
bus,20160814,off,2106,385
bus,20160814,off,2105,37
bus,20160814,off,2759,126
bus,20160814,off,2232,244
bus,20160814,off,2750,949
bus,20160814,off,2151,832
bus,20160814,off,2234,327
bus,20160814,off,2519,88
bus,20160814,off,2570,131
bus,20160814,off,2136,672
bus,20160814,off,2137,658
bus,20160814,off,2134,3366
bus,20160814,off,2135,2444
bus,20160814,off,2132,356
bus,20160814,off,2133,483
bus,20160814,off,2130,103
bus,20160814,off,2131,1171
bus,20160814,off,2227,39
bus,20160814,off,2224,200
bus,20160814,off,2225,35
bus,20160814,off,2222,402
bus,20160814,off,2223,105
bus,20160814,off,2138,634
bus,20160814,off,2221,351
bus,20160814,off,2037,3452
bus,20160814,off,2036,1631
bus,20160814,off,2035,8605
bus,20160814,off,2034,3864
bus,20160814,off,2033,5650
bus,20160814,off,2032,5476
bus,20160814,off,2031,8144
bus,20160814,off,2030,682
bus,20160814,off,2749,83
bus,20160814,off,2506,141
bus,20160814,off,2505,36
bus,20160814,off,2251,125
bus,20160814,off,2039,2021
bus,20160814,off,2038,745
bus,20160814,off,2756,51
bus,20160814,off,2308,215
bus,20160814,off,2518,142
bus,20160814,off,2250,1836
bus,20160814,off,2530,109
bus,20160814,off,2780,1666
bus,20160814,off,2121,1105
bus,20160814,off,2120,293
bus,20160814,off,2088,5397
bus,20160814,off,2089,3229
bus,20160814,off,2125,592
bus,20160814,off,2228,289
bus,20160814,off,2127,877
bus,20160814,off,2126,391
bus,20160814,off,2230,85
bus,20160814,off,2233,100
bus,20160814,off,2229,124
bus,20160814,off,2086,686
bus,20160814,off,2087,563
bus,20160814,off,2084,92
bus,20160814,off,2085,251
bus,20160814,off,2000,50778
bus,20160814,off,2007,2860
bus,20160814,off,2008,3279
bus,20160814,off,2009,1169
bus,20160814,off,2763,231
bus,20160809,on,2095,4970
bus,20160809,on,2094,540
bus,20160809,on,2097,2122
bus,20160809,on,2096,1451
bus,20160809,on,2090,3694
bus,20160809,on,2093,5227
bus,20160809,on,2092,1104
bus,20160809,on,2099,8112
bus,20160809,on,2323,1774
bus,20160809,on,2322,713
bus,20160809,on,2321,597
bus,20160809,on,2320,2025
bus,20160809,on,2327,290
bus,20160809,on,2326,126
bus,20160809,on,2325,1172
bus,20160809,on,2324,1267
bus,20160809,on,2230,1337
bus,20160809,on,2529,2069
bus,20160809,on,2170,12921
bus,20160809,on,2154,7472
bus,20160809,on,2155,6891
bus,20160809,on,2156,343
bus,20160809,on,2157,63
bus,20160809,on,2019,2381
bus,20160809,on,2018,4461
bus,20160809,on,2152,1430
bus,20160809,on,2153,9301
bus,20160809,on,2015,2709
bus,20160809,on,2745,866
bus,20160809,on,2017,8180
bus,20160809,on,2016,4411
bus,20160809,on,2011,1947
bus,20160809,on,2010,18119
bus,20160809,on,2308,996
bus,20160809,on,2767,1123
bus,20160809,on,2747,1810
bus,20160809,on,2525,866
bus,20160809,on,2508,655
bus,20160809,on,2262,381
bus,20160809,on,2760,2831
bus,20160809,on,2106,895
bus,20160809,on,2260,1284
bus,20160809,on,2515,632
bus,20160809,on,2748,121
bus,20160809,on,2261,4308
bus,20160809,on,2179,103
bus,20160809,on,2761,2222
bus,20160809,on,2318,900
bus,20160809,on,2319,287
bus,20160809,on,2316,251
bus,20160809,on,2317,683
bus,20160809,on,2315,469
bus,20160809,on,2267,38
bus,20160809,on,2068,3986
bus,20160809,on,2069,1635
bus,20160809,on,2145,6774
bus,20160809,on,2144,2188
bus,20160809,on,-1,11189
bus,20160809,on,2142,2674
bus,20160809,on,2141,3619
bus,20160809,on,2140,833
bus,20160809,on,2060,11440
bus,20160809,on,2061,839
bus,20160809,on,2062,1681
bus,20160809,on,2063,1401
